"id","serverTime","userTime","gameVersion","playerId","playerBirthdate","playerRegion","playerCountry","playerGender","playerExternalId","playerCustomData","type","coordinates","section","customData.biobrick","customData.platform","customData.localplayerguid","customData.devices","customData.sametab","customData.device","customData.slot","customData.energy","customData.option","customData.sound","customData.dnabit","customData.duration","customData.nanobot","customData.count","customData.plasmid","customData.language","customData.total","customData.controls","customData.message","customData.chapter","customData.life","customData.source"
"1518748d-01f9-4c3a-a646-0b30a73953d1","2017-04-12T08:57:48.448Z","2017-04-12T08:57:49.752Z","915953b4-f9e1-41ca-acc4-4e4e90667102","b724663c-b32a-4079-9f8f-896762b272d1",,,,,,,"start","[-229, -608]","",,"""webglplayer""","""4dbc2f43-421c-4e23-85d4-f17723ff8c66""",,,,,,,,,,,,,,,,,,,
"a831eee1-39b2-489a-80e1-71a3bd77d434","2017-04-12T08:58:14.441Z","2017-04-12T08:58:15.799Z","915953b4-f9e1-41ca-acc4-4e4e90667102","b724663c-b32a-4079-9f8f-896762b272d1",,,,,,,"selectmenu","[-229, -608]","",,,,"""""",,,,"""100""","""SANDBOX""",,,,,,,,,,,,"""100""",
"47a6370e-6f4d-4b7e-b94e-c48ac1efb58d","2017-04-12T08:58:26.229Z","2017-04-12T08:58:27.575Z","915953b4-f9e1-41ca-acc4-4e4e90667102","b724663c-b32a-4079-9f8f-896762b272d1",,,,,,,"add","[-125, 373]","",,,,"""slot0[PRLACI:RBS1:REPR2:DTER]""",,"""PRLACI:RBS1:REPR2:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"fdc6e41c-8e6c-4b75-afdd-b7a215d12077","2017-04-12T08:58:37.640Z","2017-04-12T08:58:38.987Z","915953b4-f9e1-41ca-acc4-4e4e90667102","b724663c-b32a-4079-9f8f-896762b272d1",,,,,,,"switchfromgameversion","[-125, 373]","",,"""webglplayer""","""4dbc2f43-421c-4e23-85d4-f17723ff8c66""",,,,,,,,,,,,,,,,,,,
"4fb6a1d5-5a07-4ec9-a3ac-0df0fca8b0ca","2017-04-12T09:30:51.879Z","2017-04-12T09:30:31.060Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"start","[-229, -608]","",,"""webglplayer""","""1a8924de-7cc6-4ff5-8735-4cddac309117""",,,,,,,,,,,,,,,,,,,
"240b9cd6-72e0-46f7-a896-68fe79f9a145","2017-04-12T09:31:37.573Z","2017-04-12T09:31:16.662Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"craft","[-229, -608]","",,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,"""PRCONS:RBS3:MOV:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"b9b9407b-3e77-4dac-b9a3-190946c96398","2017-04-12T09:32:11.723Z","2017-04-12T09:31:50.638Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"select","[-229, -608]","",,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""slot0""","""100""",,,,,,,,,,,,,"""100""",
"0c6bfff2-ba3d-4b83-912f-766c535e3052","2017-04-12T09:32:12.909Z","2017-04-12T09:31:51.845Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"remove","[-229, -608]","",,,,"""""",,"""PRCONS:RBS3:MOV:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"265d1938-3329-462c-add6-79a924794eab","2017-04-12T09:32:24.367Z","2017-04-12T09:32:03.213Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-229, -608]","",,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,"""PRCONS:RBS3:MOV:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"3175c8b0-d017-4f7b-a394-486a82755749","2017-04-12T09:32:44.918Z","2017-04-12T09:32:23.601Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"death","[-216, -642]","",,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""0""","""SUICIDEBUTTON"""
"26d7e6cf-fbb0-4a3c-b4e9-bec2c7a8be57","2017-04-12T09:32:58.854Z","2017-04-12T09:32:37.505Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"reach","[-259, -713]","tutorial1.Checkpoint00",,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"32e7e4fa-6dfc-4e76-ab9e-6779f2513f30","2017-04-12T09:33:00.508Z","2017-04-12T09:32:39.162Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"death","[-259, -713]","tutorial1.Checkpoint00",,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""0""","""SUICIDEBUTTON"""
"4b9cdb26-2e96-42b4-b909-01ea84cee0ee","2017-04-12T09:33:06.613Z","2017-04-12T09:32:45.208Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"death","[-264, -708]","tutorial1.Checkpoint00",,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""0""","""SUICIDEBUTTON"""
"068f4a86-b778-48d5-81f2-4e81d189e95c","2017-04-12T09:33:30.783Z","2017-04-12T09:33:09.202Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"pickup","[-192, -764]","tutorial1.Checkpoint00",,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,,"""100""",,,"""RBS2""",,,,,,,,,,"""100""",
"83d390cc-6c9d-495f-b0a8-f5accc385bbc","2017-04-12T09:33:36.614Z","2017-04-12T09:33:15.033Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"select","[-192, -767]","tutorial1.Checkpoint00",,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""slot0""","""100""",,,,,,,,,,,,,"""100""",
"f4db4e3b-eda0-4c04-8e37-92514973ee2e","2017-04-12T09:33:37.457Z","2017-04-12T09:33:15.849Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"craft","[-192, -767]","tutorial1.Checkpoint00",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,"""PRCONS:RBS2:MOV:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"83951187-1eb1-4451-8423-3fa3c07c0ceb","2017-04-12T09:33:37.526Z","2017-04-12T09:33:15.903Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-192, -767]","tutorial1.Checkpoint00","""RBS2""",,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"e3fd223d-66ab-4e20-8735-7f3118b12a3f","2017-04-12T09:33:38.301Z","2017-04-12T09:33:16.733Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"select","[-192, -767]","tutorial1.Checkpoint00",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""slot0""","""100""",,,,,,,,,,,,,"""100""",
"2e088397-7539-43a4-87cd-84786dbac7cf","2017-04-12T09:34:25.657Z","2017-04-12T09:34:03.736Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"reach","[-99, -623]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"a68b05e3-2c21-444d-89fb-d8978e7902f6","2017-04-12T09:34:25.659Z","2017-04-12T09:34:03.751Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"newfurthest","[-99, -623]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,"null",,,,,,,,"""0""","""100""",
"e1d4d695-8e82-42f7-8386-27124f77c5a5","2017-04-12T09:34:25.674Z","2017-04-12T09:34:03.758Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"newownrecord","[-99, -623]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,"null",,,,,,,,"""0""","""100""",
"379a86f0-7faa-45f4-983f-307234d07d20","2017-04-12T09:35:15.908Z","2017-04-12T09:34:53.707Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"pickup","[-283, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,"""FLUO1""",,,,,,,,,,"""100""",
"e067371b-5631-457d-8de3-4ba16ebe5d59","2017-04-12T09:35:23.615Z","2017-04-12T09:35:01.392Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01","""FLUO1""",,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"df26313d-20f3-4172-a2b0-4c7bc509e7d6","2017-04-12T09:35:23.615Z","2017-04-12T09:35:01.378Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"craft","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,"""PRCONS:RBS2:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"22352022-22b8-40e5-8160-da2df8b6e47e","2017-04-12T09:39:07.065Z","2017-04-12T09:38:43.340Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,"""PRCONS:RBS2:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"f693bbeb-6cb5-4bc8-ac01-8164bd10f8ff","2017-04-12T09:39:09.862Z","2017-04-12T09:38:46.152Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,"""PRCONS:RBS2:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"67a0af6f-3de4-4033-8493-1c335612616f","2017-04-12T09:39:10.770Z","2017-04-12T09:38:47.063Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,"""PRCONS:RBS2:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"79a1b264-490d-4c34-854d-3fc867ca5cbc","2017-04-12T09:39:12.306Z","2017-04-12T09:38:48.537Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,"""PRCONS:RBS2:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"6aac12a7-6b99-42a8-83dd-b5002b7a2a35","2017-04-12T09:39:13.026Z","2017-04-12T09:38:49.302Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,"""PRCONS:RBS2:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"68eefd2a-65c2-4485-bae6-d938caaa387b","2017-04-12T09:39:13.872Z","2017-04-12T09:38:50.148Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,"""PRCONS:RBS2:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"d48ad8a2-6cf9-4882-800a-093e13fd5728","2017-04-12T09:39:14.615Z","2017-04-12T09:38:50.890Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,"""PRCONS:RBS2:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"4d713533-e140-4159-9e8c-7ed92afa8ce3","2017-04-12T09:39:23.908Z","2017-04-12T09:39:00.110Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,"""PRCONS:RBS2:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"e7e31fef-cad2-4f81-99f4-74d2ab3eac84","2017-04-12T09:39:24.788Z","2017-04-12T09:39:00.991Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,"""PRCONS:RBS2:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"131bf5cf-6125-422c-b442-1c96eb10b4a3","2017-04-12T09:39:29.191Z","2017-04-12T09:39:05.353Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,"""PRCONS:RBS2:MOV:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"b17e2ae4-6cde-48e1-ba1a-1c51000ebfda","2017-04-12T09:39:32.124Z","2017-04-12T09:39:08.287Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,"""PRCONS:RBS2:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"38018ae5-2d45-4217-b22c-1344ba4f2f5c","2017-04-12T09:39:33.136Z","2017-04-12T09:39:09.299Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,"""PRCONS:RBS2:MOV:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"07ff282f-172e-4660-a961-94554c15103d","2017-04-12T09:39:37.087Z","2017-04-12T09:39:13.199Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,"""PRCONS:RBS2:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"6fd8080d-0a00-42d9-b23e-2b8079d93346","2017-04-12T09:39:39.505Z","2017-04-12T09:39:15.637Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,"""PRCONS:RBS2:MOV:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"67e52e96-c138-4575-803c-f6ce124af50f","2017-04-12T09:39:40.914Z","2017-04-12T09:39:17.025Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,"""PRCONS:RBS2:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"64b46860-7d3f-4ced-91d7-e26adfac4cc1","2017-04-12T09:39:41.948Z","2017-04-12T09:39:18.060Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,"""PRCONS:RBS2:MOV:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"1648dc24-dcb5-45fd-8a49-4362f9b019dd","2017-04-12T09:41:17.711Z","2017-04-12T09:40:53.147Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,"""PRCONS:RBS2:MOV:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"6e7e860e-4072-4e40-95c5-aa1fa79135d6","2017-04-12T09:41:19.024Z","2017-04-12T09:40:54.517Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,"""PRCONS:RBS2:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"d9eab3bd-2bbf-4966-9861-1fe514515c59","2017-04-12T09:41:19.863Z","2017-04-12T09:40:55.345Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,"""PRCONS:RBS2:MOV:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"ff580eb4-8e76-48f9-aff5-04c25caefb62","2017-04-12T09:41:20.518Z","2017-04-12T09:40:55.999Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,"""PRCONS:RBS2:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"c08a71ca-6669-4186-b772-f36778f59d76","2017-04-12T09:41:22.820Z","2017-04-12T09:40:58.260Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,"""PRCONS:RBS3:MOV:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"60f9c6d0-b3d3-489a-abf0-cee115de46d5","2017-04-12T09:41:25.184Z","2017-04-12T09:41:00.646Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,"""PRCONS:RBS2:MOV:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"b2ba87b6-7f64-4df6-aba9-b8130b84965c","2017-04-12T09:41:26.424Z","2017-04-12T09:41:01.866Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,"""PRCONS:RBS2:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"ccb926ee-bb14-4607-8bc7-51641c4dd7ac","2017-04-12T09:41:28.751Z","2017-04-12T09:41:04.160Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,"""PRCONS:RBS2:MOV:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"8bd0eda2-e6a0-4ed5-9183-8445826359e1","2017-04-12T09:41:30.110Z","2017-04-12T09:41:05.533Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,"""PRCONS:RBS3:MOV:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"fb8cbdd1-c6c8-49b9-987b-fccfe94290a7","2017-04-12T09:41:31.931Z","2017-04-12T09:41:07.329Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,"""PRCONS:RBS2:MOV:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"6ddee050-2dc5-42b5-8cbc-de3189a2543c","2017-04-12T09:42:21.232Z","2017-04-12T09:41:56.345Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"select","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""slot0""","""100""",,,,,,,,,,,,,"""100""",
"a38dc2f2-f2ea-4618-8062-e8da07700387","2017-04-12T09:42:24.293Z","2017-04-12T09:41:59.412Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"select","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""slot0""","""100""",,,,,,,,,,,,,"""100""",
"534b50d2-12a9-4c55-81a9-cc5cda1092c3","2017-04-12T09:42:25.843Z","2017-04-12T09:42:00.962Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"select","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""slot0""","""100""",,,,,,,,,,,,,"""100""",
"51aceb3a-7909-4622-a755-b142dc3d3b53","2017-04-12T09:42:26.997Z","2017-04-12T09:42:02.078Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"select","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""slot0""","""100""",,,,,,,,,,,,,"""100""",
"a60f92c9-cd32-4a38-a087-50382af39f87","2017-04-12T09:42:32.842Z","2017-04-12T09:42:07.894Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,"""PRCONS:RBS2:MOV:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"dc13c074-b390-4e43-91d3-e9e9b9819a1a","2017-04-12T09:42:44.705Z","2017-04-12T09:42:19.690Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01","""RBS3""",,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"df8d81a4-0330-41a4-945c-14825428d33d","2017-04-12T09:42:47.653Z","2017-04-12T09:42:22.637Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01","""RBS2""",,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"a3ca5af2-eee9-4653-8b89-f8c4d272f9c6","2017-04-12T09:42:54.616Z","2017-04-12T09:42:29.553Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01","""RBS3""",,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"579a54a9-68b7-402c-9a89-005090d0b3d8","2017-04-12T09:43:03.308Z","2017-04-12T09:42:38.186Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"craft","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS3:FLUO1:DTER]""",,"""PRCONS:RBS3:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"f4776998-3e39-4f91-9312-c24ad55d9a50","2017-04-12T09:43:03.312Z","2017-04-12T09:42:38.193Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01","""FLUO1""",,,"""slot0[PRCONS:RBS3:FLUO1:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"b042f4cd-148d-40d4-9056-2120d4393894","2017-04-12T09:43:04.044Z","2017-04-12T09:42:38.938Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01","""MOV""",,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"e8bcc44f-6c72-4e20-87d6-699fdedf7762","2017-04-12T09:43:07.124Z","2017-04-12T09:42:42.006Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS3:FLUO1:DTER]""",,"""PRCONS:RBS3:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"9adcf557-4be9-461c-875f-2381640cdaf5","2017-04-12T09:43:08.136Z","2017-04-12T09:42:43.014Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2d76c4ef-f260-4963-82f4-ff598d2a63b4",,,,,,,"add","[-285, -453]","tutorial1.Checkpoint01",,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,"""PRCONS:RBS2:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
